job_id,order_id,resource_id,maquina,inicio,fim,not_before_date,deadline,sub_machine,Status_Processed,delay,tempo_processamento
129,149011,98,coldboxgasado_coldboxpequena,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
133,149012,98,coldboxgasado_coldboxpequena,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
152,149016,115,coldboxgasado_coldboxpequena,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
157,149017,115,coldboxgasado_coldboxpequena,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
82,148955,2735,coldboxsoprado_sopradora,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
83,148955,2736,coldboxsoprado_sopradora,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
128,149011,114,coldboxsoprado_sopradora,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
130,149011,385,coldboxsoprado_sopradora,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
131,149011,2629,coldboxsoprado_sopradora,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
132,149012,114,coldboxsoprado_sopradora,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
134,149012,385,coldboxsoprado_sopradora,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
135,149012,2629,coldboxsoprado_sopradora,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
151,149016,114,coldboxsoprado_sopradora,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
153,149016,386,coldboxsoprado_sopradora,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
154,149016,2629,coldboxsoprado_sopradora,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
156,149017,114,coldboxsoprado_sopradora,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
158,149017,386,coldboxsoprado_sopradora,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
159,149017,2629,coldboxsoprado_sopradora,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
87,148982,1775,pepset_carrossel,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
181,149054,87,pepset_carrossel,,,2025-12-15,2025-12-17,0,Erro not before posterior ao ultimo dia,0.0,0
182,149054,88,pepset_carrossel,,,2025-12-15,2025-12-17,0,Erro not before posterior ao ultimo dia,0.0,0
183,149054,89,pepset_carrossel,,,2025-12-15,2025-12-17,0,Erro not before posterior ao ultimo dia,0.0,0
184,149054,94,pepset_carrossel,,,2025-12-15,2025-12-17,0,Erro not before posterior ao ultimo dia,0.0,0
185,149055,90,pepset_carrossel,,,2025-12-15,2025-12-17,0,Erro not before posterior ao ultimo dia,0.0,0
186,149055,91,pepset_carrossel,,,2025-12-15,2025-12-17,0,Erro not before posterior ao ultimo dia,0.0,0
187,149055,92,pepset_carrossel,,,2025-12-15,2025-12-17,0,Erro not before posterior ao ultimo dia,0.0,0
188,149055,93,pepset_carrossel,,,2025-12-15,2025-12-17,0,Erro not before posterior ao ultimo dia,0.0,0
50,148931,419,pepset_chao,2025-12-11 04:00:00,2025-12-11 06:30:00,2025-12-11,2025-12-12,1,,0.0,150
140,149014,113,pepset_chao,2025-12-11 04:00:00,2025-12-11 05:05:00,2025-12-11,2025-12-15,0,,0.0,65
19,148705,668,pepset_chao,2025-12-11 05:10:00,2025-12-11 07:40:00,2025-12-11,2025-12-15,0,,0.0,150
163,149036,2948,pepset_chao,2025-12-11 06:35:00,2025-12-11 12:20:00,2025-12-11,2025-12-15,1,,0.0,345
16,148704,668,pepset_chao,2025-12-11 07:40:00,2025-12-11 10:10:00,2025-12-11,2025-12-12,0,,0.0,150
145,149015,113,pepset_chao,2025-12-11 10:15:00,2025-12-11 13:10:00,2025-12-11,2025-12-15,0,,0.0,175
162,149035,2948,pepset_chao,2025-12-11 12:20:00,2025-12-11 18:05:00,2025-12-11,2025-12-11,1,,0.0,345
40,148881,425,pepset_chao,2025-12-11 13:15:00,2025-12-11 20:25:00,2025-12-11,2025-12-11,0,,0.0,430
175,149052,116,pepset_chao,2025-12-11 18:45:00,2025-12-12 01:55:00,2025-12-11,2025-12-11,1,,1.0,430
42,148882,425,pepset_chao,2025-12-11 20:25:00,2025-12-12 03:35:00,2025-12-11,2025-12-11,0,,1.0,430
166,149041,425,pepset_chao,2025-12-12 04:00:00,2025-12-12 11:10:00,2025-12-11,2025-12-11,0,,1.0,430
178,149053,116,pepset_chao,2025-12-12 04:00:00,2025-12-12 11:10:00,2025-12-11,2025-12-12,1,,0.0,430
164,149040,425,pepset_chao,2025-12-12 11:10:00,2025-12-12 18:20:00,2025-12-11,2025-12-11,0,,1.0,430
127,149011,113,pepset_chao,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
150,149016,113,pepset_chao,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
155,149017,113,pepset_chao,,,2025-12-16,2025-12-18,0,Erro not before posterior ao ultimo dia,0.0,0
160,149026,2945,pepset_chao,,,2025-12-15,2025-12-16,0,Erro not before posterior ao ultimo dia,0.0,0
161,149027,2944,pepset_chao,,,2025-12-15,2025-12-16,0,Erro not before posterior ao ultimo dia,0.0,0
