job_id,order_id,resource_id,maquina,inicio,fim,not_before_date,deadline,sub_machine,Status_Processed,delay,tempo_processamento
239,148996,2691,coldboxgasado_coldbox4,2025-12-08 13:30:00,2025-12-08 14:30:00,2025-12-08,2025-12-08,0,,0.0,60
234,148995,2691,coldboxgasado_coldbox4,2025-12-08 14:30:00,2025-12-08 15:30:00,2025-12-08,2025-12-08,0,,0.0,60
238,148996,2690,coldboxgasado_coldbox4,2025-12-08 15:40:00,2025-12-08 16:40:00,2025-12-08,2025-12-08,0,,0.0,60
233,148995,2690,coldboxgasado_coldbox4,2025-12-08 16:40:00,2025-12-08 17:40:00,2025-12-08,2025-12-08,0,,0.0,60
243,148997,2690,coldboxgasado_coldbox4,2025-12-08 17:40:00,2025-12-08 18:40:00,2025-12-08,2025-12-10,0,,0.0,60
249,148998,2690,coldboxgasado_coldbox4,2025-12-08 18:45:00,2025-12-08 19:45:00,2025-12-08,2025-12-11,0,,0.0,60
250,148998,2691,coldboxgasado_coldbox4,2025-12-08 19:55:00,2025-12-08 20:55:00,2025-12-08,2025-12-11,0,,0.0,60
244,148997,2691,coldboxgasado_coldbox4,2025-12-08 20:55:00,2025-12-08 21:55:00,2025-12-08,2025-12-10,0,,0.0,60
259,148999,2690,coldboxgasado_coldbox4,2025-12-10 13:30:00,2025-12-10 14:30:00,2025-12-10,2025-12-12,0,,0.0,60
260,148999,2691,coldboxgasado_coldbox4,2025-12-10 14:40:00,2025-12-10 15:40:00,2025-12-10,2025-12-12,0,,0.0,60
270,149000,2691,coldboxgasado_coldbox4,2025-12-11 13:30:00,2025-12-11 14:30:00,2025-12-11,2025-12-13,0,,0.0,60
269,149000,2690,coldboxgasado_coldbox4,2025-12-11 14:40:00,2025-12-11 15:40:00,2025-12-11,2025-12-13,0,,0.0,60
279,149001,2690,coldboxgasado_coldbox4,2025-12-12 13:30:00,2025-12-12 14:30:00,2025-12-12,2025-12-16,0,,0.0,60
280,149001,2691,coldboxgasado_coldbox4,2025-12-12 14:40:00,2025-12-12 15:40:00,2025-12-12,2025-12-16,0,,0.0,60
86,148878,429,coldboxgasado_coldboxpequena,,,2025-12-16,2025-12-17,0,Erro not before posterior ao ultimo dia,0.0,0
339,149026,2945,pepset_chao,,,2025-12-16,2025-12-17,0,Erro not before posterior ao ultimo dia,0.0,0
340,149027,2944,pepset_chao,,,2025-12-16,2025-12-17,0,Erro not before posterior ao ultimo dia,0.0,0
247,148997,2694,pepset_vibrado,2025-12-08 04:00:00,2025-12-08 07:20:00,2025-12-08,2025-12-10,0,,0.0,200
253,148998,2694,pepset_vibrado,2025-12-08 07:20:00,2025-12-08 12:40:00,2025-12-08,2025-12-11,0,,0.0,320
263,148999,2694,pepset_vibrado,2025-12-10 04:00:00,2025-12-10 09:20:00,2025-12-10,2025-12-12,0,,0.0,320
273,149000,2694,pepset_vibrado,2025-12-11 04:00:00,2025-12-11 09:20:00,2025-12-11,2025-12-13,0,,0.0,320
283,149001,2694,pepset_vibrado,2025-12-12 04:00:00,2025-12-12 09:20:00,2025-12-12,2025-12-16,0,,0.0,320
