job_id,order_id,resource_id,maquina,inicio,fim,not_before_date,deadline,sub_machine,Status_Processed,delay,tempo_processamento
32,147096,2691,coldboxgasado_coldbox4,2025-11-26 13:30:00,2025-11-26 14:30:00,2025-11-26,2025-11-28 00:00:00,0,,0.0,60
38,147097,2691,coldboxgasado_coldbox4,2025-11-26 14:30:00,2025-11-26 15:30:00,2025-11-26,2025-11-28 00:00:00,0,,0.0,60
27,147095,2691,coldboxgasado_coldbox4,2025-11-26 15:30:00,2025-11-26 16:30:00,2025-11-26,2025-11-27 00:00:00,0,,0.0,60
31,147096,2690,coldboxgasado_coldbox4,2025-11-26 16:40:00,2025-11-26 17:40:00,2025-11-26,2025-11-28 00:00:00,0,,0.0,60
26,147095,2690,coldboxgasado_coldbox4,2025-11-26 17:40:00,2025-11-26 18:40:00,2025-11-26,2025-11-27 00:00:00,0,,0.0,60
37,147097,2690,coldboxgasado_coldbox4,2025-11-26 18:45:00,2025-11-26 19:45:00,2025-11-26,2025-11-28 00:00:00,0,,0.0,60
79,147315,2691,coldboxgasado_coldbox4,2025-11-27 13:30:00,2025-11-27 14:30:00,2025-11-27,2025-12-01 00:00:00,0,,0.0,60
78,147315,2690,coldboxgasado_coldbox4,2025-11-27 14:40:00,2025-11-27 15:40:00,2025-11-27,2025-12-01 00:00:00,0,,0.0,60
129,148642,2691,coldboxgasado_coldbox4,2025-11-28 13:30:00,2025-11-28 14:30:00,2025-11-28,2025-12-02 00:00:00,0,,0.0,60
139,148643,2691,coldboxgasado_coldbox4,2025-11-28 14:30:00,2025-11-28 15:30:00,2025-11-28,2025-12-02 00:00:00,0,,0.0,60
128,148642,2690,coldboxgasado_coldbox4,2025-11-28 15:40:00,2025-11-28 16:40:00,2025-11-28,2025-12-02 00:00:00,0,,0.0,60
138,148643,2690,coldboxgasado_coldbox4,2025-11-28 16:40:00,2025-11-28 17:40:00,2025-11-28,2025-12-02 00:00:00,0,,0.0,60
88,148389,2907,coldboxgasado_coldboxpequena,2025-11-26 04:00:00,2025-11-26 04:15:00,2025-11-26,2025-11-27 00:00:00,0,,0.0,15
4,146921,2907,coldboxgasado_coldboxpequena,2025-11-26 04:15:00,2025-11-26 04:50:00,2025-11-26,2025-11-28 00:00:00,0,,0.0,35
19,147021,115,coldboxgasado_coldboxpequena,2025-11-26 04:55:00,2025-11-26 05:25:00,2025-11-26,2025-11-28 00:00:00,0,,0.0,30
207,148781,2907,coldboxgasado_coldboxpequena,2025-11-26 05:30:00,2025-11-26 06:10:00,2025-11-26,2025-11-28 00:00:00,0,,0.0,40
209,148820,2908,coldboxgasado_coldboxpequena,2025-11-27 04:00:00,2025-11-27 04:25:00,2025-11-27,2025-12-01 00:00:00,0,,0.0,25
70,147198,98,coldboxgasado_coldboxpequena,2025-11-27 04:30:00,2025-11-27 05:00:00,2025-11-27,2025-12-01 00:00:00,0,,0.0,30
45,147151,115,coldboxgasado_coldboxpequena,2025-11-27 05:05:00,2025-11-27 05:35:00,2025-11-27,2025-12-01 00:00:00,0,,0.0,30
48,147175,2907,coldboxgasado_coldboxpequena,2025-11-27 05:40:00,2025-11-27 06:15:00,2025-11-27,2025-12-01 00:00:00,0,,0.0,35
212,148830,2515,coldboxgasado_coldboxpequena,2025-11-27 06:20:00,2025-11-27 07:20:00,2025-11-27,2025-12-01 00:00:00,0,,0.0,60
213,148830,2516,coldboxgasado_coldboxpequena,2025-11-27 07:25:00,2025-11-27 08:25:00,2025-11-27,2025-12-01 00:00:00,0,,0.0,60
183,148737,77,coldboxgasado_coldboxpequena,2025-11-27 08:30:00,2025-11-27 09:30:00,2025-11-27,2025-12-01 00:00:00,0,,0.0,60
182,148737,76,coldboxgasado_coldboxpequena,2025-11-27 09:45:00,2025-11-27 10:45:00,2025-11-27,2025-12-01 00:00:00,0,,0.0,60
191,148765,98,coldboxgasado_coldboxpequena,2025-11-28 04:00:00,2025-11-28 04:30:00,2025-11-28,2025-12-02 00:00:00,0,,0.0,30
196,148766,98,coldboxgasado_coldboxpequena,2025-11-28 04:30:00,2025-11-28 05:00:00,2025-11-28,2025-12-02 00:00:00,0,,0.0,30
152,148677,115,coldboxgasado_coldboxpequena,2025-11-28 05:05:00,2025-11-28 05:35:00,2025-11-28,2025-12-02 00:00:00,0,,0.0,30
157,148678,115,coldboxgasado_coldboxpequena,2025-11-28 05:35:00,2025-11-28 06:05:00,2025-11-28,2025-12-02 00:00:00,0,,0.0,30
49,147176,2907,coldboxgasado_coldboxpequena,2025-11-28 06:10:00,2025-11-28 06:45:00,2025-11-28,2025-12-02 00:00:00,0,,0.0,35
149,148648,2320,coldboxgasado_coldboxpequena,2025-11-28 06:50:00,2025-11-28 09:00:00,2025-11-28,2025-12-02 00:00:00,0,,0.0,130
148,148648,2192,coldboxgasado_coldboxpequena,2025-11-28 09:45:00,2025-11-28 11:55:00,2025-11-28,2025-12-02 00:00:00,0,,0.0,130
127,148616,1843,coldboxgasado_coldboxpequena,2025-11-28 12:00:00,2025-11-28 15:55:00,2025-11-28,2025-12-02 00:00:00,0,,0.0,235
50,147177,2907,coldboxgasado_coldboxpequena,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
162,148679,115,coldboxgasado_coldboxpequena,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
177,148724,2908,coldboxgasado_coldboxpequena,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
178,148728,2908,coldboxgasado_coldboxpequena,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
179,148733,2515,coldboxgasado_coldboxpequena,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
180,148733,2516,coldboxgasado_coldboxpequena,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
201,148767,98,coldboxgasado_coldboxpequena,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
211,148824,2907,coldboxgasado_coldboxpequena,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
218,148833,115,coldboxgasado_coldboxpequena,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
249,148902,98,coldboxgasado_coldboxpequena,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
101,148471,1755,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
106,148511,2575,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
107,148511,2576,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
108,148511,2577,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
161,148679,114,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
163,148679,386,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
164,148679,2629,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
200,148767,114,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
202,148767,385,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
203,148767,2629,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
217,148833,114,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
219,148833,386,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
220,148833,2629,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
233,148847,2735,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
234,148847,2736,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
241,148856,2735,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
242,148856,2736,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
248,148902,114,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
250,148902,385,coldboxsoprado_sopradora,,,2025-12-01,2025-12-03 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
