job_id,order_id,resource_id,maquina,inicio,fim,not_before_date,deadline,sub_machine,Status_Processed,delay,tempo_processamento
56,146490,2691,coldboxgasado_coldbox4,2025-10-20 13:30:00,2025-10-20 14:40:00,2025-10-20,2025-10-20,0,,0.0,70
72,146493,2691,coldboxgasado_coldbox4,2025-10-20 14:40:00,2025-10-20 15:50:00,2025-10-20,2025-10-21,0,,0.0,70
264,147057,2691,coldboxgasado_coldbox4,2025-10-20 15:50:00,2025-10-20 17:00:00,2025-10-20,2025-10-22,0,,0.0,70
60,146491,2691,coldboxgasado_coldbox4,2025-10-20 17:00:00,2025-10-20 18:10:00,2025-10-20,2025-10-20,0,,0.0,70
71,146493,2690,coldboxgasado_coldbox4,2025-10-20 18:45:00,2025-10-20 19:55:00,2025-10-20,2025-10-21,0,,0.0,70
263,147057,2690,coldboxgasado_coldbox4,2025-10-20 19:55:00,2025-10-20 21:05:00,2025-10-20,2025-10-22,0,,0.0,70
55,146490,2690,coldboxgasado_coldbox4,2025-10-20 21:05:00,2025-10-20 22:15:00,2025-10-20,2025-10-20,0,,0.0,70
80,146494,2691,coldboxgasado_coldbox4,2025-10-21 13:30:00,2025-10-21 14:40:00,2025-10-20,2025-10-22,0,,0.0,70
64,146492,2691,coldboxgasado_coldbox4,2025-10-21 14:40:00,2025-10-21 15:50:00,2025-10-20,2025-10-21,0,,0.0,70
282,147059,2691,coldboxgasado_coldbox4,2025-10-21 15:50:00,2025-10-21 17:00:00,2025-10-21,2025-10-23,0,,0.0,70
272,147058,2691,coldboxgasado_coldbox4,2025-10-21 17:00:00,2025-10-21 18:10:00,2025-10-21,2025-10-23,0,,0.0,70
79,146494,2690,coldboxgasado_coldbox4,2025-10-21 18:45:00,2025-10-21 19:55:00,2025-10-20,2025-10-22,0,,0.0,70
59,146491,2690,coldboxgasado_coldbox4,2025-10-21 19:55:00,2025-10-21 21:05:00,2025-10-20,2025-10-20,0,,1.0,70
63,146492,2690,coldboxgasado_coldbox4,2025-10-21 21:05:00,2025-10-21 22:15:00,2025-10-20,2025-10-21,0,,0.0,70
291,147060,2690,coldboxgasado_coldbox4,2025-10-22 13:30:00,2025-10-22 14:40:00,2025-10-22,2025-10-24,0,,0.0,70
