job_id,order_id,resource_id,maquina,inicio,fim,not_before_date,deadline,sub_machine,Status_Processed,delay,tempo_processamento
35,148694,668,pepset_chao,2025-12-02 04:00:00,2025-12-02 06:30:00,2025-12-02,2025-12-04,1,,0.0,150
155,148902,113,pepset_chao,2025-12-02 04:00:00,2025-12-02 06:55:00,2025-12-02,2025-12-03,0,,0.0,175
109,148874,419,pepset_chao,2025-12-02 06:35:00,2025-12-02 10:10:00,2025-12-02,2025-12-04,1,,0.0,215
25,148590,2992,pepset_chao,2025-12-02 07:00:00,2025-12-02 10:35:00,2025-12-02,2025-12-03,0,,0.0,215
103,148873,419,pepset_chao,2025-12-02 10:10:00,2025-12-02 17:20:00,2025-12-02,2025-12-04,1,,0.0,430
87,148869,425,pepset_chao,2025-12-02 10:40:00,2025-12-02 22:10:00,2025-12-02,2025-12-04,0,,0.0,690
18,148534,2831,pepset_chao,2025-12-03 04:00:00,2025-12-03 06:10:00,2025-12-03,2025-12-05,1,,0.0,130
95,148871,425,pepset_chao,2025-12-03 04:00:00,2025-12-03 16:55:00,2025-12-03,2025-12-05,0,,0.0,775
38,148695,668,pepset_chao,2025-12-03 06:15:00,2025-12-03 08:45:00,2025-12-03,2025-12-05,1,,0.0,150
142,148885,419,pepset_chao,2025-12-03 08:50:00,2025-12-03 14:35:00,2025-12-03,2025-12-05,1,,0.0,345
136,148884,419,pepset_chao,2025-12-03 14:35:00,2025-12-03 21:45:00,2025-12-03,2025-12-05,1,,0.0,430
91,148870,425,pepset_chao,2025-12-03 16:55:00,2025-12-04 05:50:00,2025-12-03,2025-12-05,0,,0.0,775
44,148702,668,pepset_chao,2025-12-04 04:00:00,2025-12-04 06:30:00,2025-12-04,2025-12-09,1,,0.0,150
132,148883,425,pepset_chao,2025-12-04 05:50:00,2025-12-04 07:20:00,2025-12-04,2025-12-09,0,,0.0,90
21,148535,2831,pepset_chao,2025-12-04 06:35:00,2025-12-04 10:10:00,2025-12-04,2025-12-09,1,,0.0,215
99,148872,425,pepset_chao,2025-12-04 07:20:00,2025-12-04 20:15:00,2025-12-04,2025-12-09,0,,0.0,775
41,148701,668,pepset_chao,2025-12-04 10:15:00,2025-12-04 12:45:00,2025-12-04,2025-12-09,1,,0.0,150
169,148930,419,pepset_chao,2025-12-04 12:50:00,2025-12-05 01:45:00,2025-12-04,2025-12-09,1,,0.0,775
120,148880,425,pepset_chao,2025-12-04 20:15:00,2025-12-05 10:35:00,2025-12-04,2025-12-09,0,,0.0,860
47,148703,668,pepset_chao,2025-12-05 04:00:00,2025-12-05 06:30:00,2025-12-05,2025-12-10,1,,0.0,150
20,148534,2833,pepset_chao,2025-12-05 06:35:00,2025-12-05 10:10:00,2025-12-05,2025-12-09,1,,0.0,215
76,148834,2831,pepset_chao,2025-12-05 10:15:00,2025-12-05 13:50:00,2025-12-05,2025-12-10,1,,0.0,215
175,148931,419,pepset_chao,2025-12-05 10:40:00,2025-12-05 23:35:00,2025-12-05,2025-12-10,0,,0.0,775
124,148881,425,pepset_chao,2025-12-05 15:35:00,2025-12-06 05:55:00,2025-12-05,2025-12-10,1,,0.0,860
23,148535,2833,pepset_chao,,,2025-12-09,2025-12-10,0,Erro not before posterior ao ultimo dia,0.0,0
78,148834,2833,pepset_chao,,,2025-12-10,2025-12-11,0,Erro not before posterior ao ultimo dia,0.0,0
163,148913,2498,pepset_chao,,,2025-12-10,2025-12-11,0,Erro not before posterior ao ultimo dia,0.0,0
164,148913,2499,pepset_chao,,,2025-12-10,2025-12-11,0,Erro not before posterior ao ultimo dia,0.0,0
