job_id,order_id,resource_id,maquina,inicio,fim,not_before_date,deadline,sub_machine,Status_Processed,delay,tempo_processamento
227,148995,2691,coldboxgasado_coldbox4,2025-12-04 13:30:00,2025-12-04 14:30:00,2025-12-04,2025-12-04 23:55:00,0,,0.0,60
233,148996,2691,coldboxgasado_coldbox4,2025-12-04 14:30:00,2025-12-04 15:30:00,2025-12-04,2025-12-05 00:00:00,0,,0.0,60
239,148997,2691,coldboxgasado_coldbox4,2025-12-04 15:30:00,2025-12-04 16:30:00,2025-12-04,2025-12-09 00:00:00,0,,0.0,60
238,148997,2690,coldboxgasado_coldbox4,2025-12-04 16:40:00,2025-12-04 17:40:00,2025-12-04,2025-12-09 00:00:00,0,,0.0,60
232,148996,2690,coldboxgasado_coldbox4,2025-12-04 17:40:00,2025-12-04 18:40:00,2025-12-04,2025-12-05 00:00:00,0,,0.0,60
226,148995,2690,coldboxgasado_coldbox4,2025-12-04 18:45:00,2025-12-04 19:45:00,2025-12-04,2025-12-04 23:55:00,0,,0.0,60
245,148998,2691,coldboxgasado_coldbox4,2025-12-05 13:30:00,2025-12-05 14:30:00,2025-12-05,2025-12-10 00:00:00,0,,0.0,60
244,148998,2690,coldboxgasado_coldbox4,2025-12-05 14:40:00,2025-12-05 15:40:00,2025-12-05,2025-12-10 00:00:00,0,,0.0,60
254,148999,2690,coldboxgasado_coldbox4,,,2025-12-09,2025-12-11 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
255,148999,2691,coldboxgasado_coldbox4,,,2025-12-09,2025-12-11 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
264,149000,2690,coldboxgasado_coldbox4,,,2025-12-10,2025-12-12 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
265,149000,2691,coldboxgasado_coldbox4,,,2025-12-10,2025-12-12 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
17,148611,2906,coldboxgasado_coldboxpequena,,,2025-12-09,2025-12-11 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
18,148612,2906,coldboxgasado_coldboxpequena,,,2025-12-10,2025-12-12 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
19,148681,363,coldboxgasado_coldboxpequena,,,2025-12-09,2025-12-11 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
50,148788,2907,coldboxgasado_coldboxpequena,,,2025-12-10,2025-12-12 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
52,148789,2907,coldboxgasado_coldboxpequena,,,2025-12-10,2025-12-12 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
53,148791,1612,coldboxgasado_coldboxpequena,,,2025-12-09,2025-12-11 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
54,148791,2907,coldboxgasado_coldboxpequena,,,2025-12-09,2025-12-11 00:00:00,0,Erro not before posterior ao ultimo dia,0.0,0
