job_id,order_id,resource_id,maquina,inicio,fim,not_before_date,deadline,sub_machine,Status_Processed,delay,tempo_processamento
31,148535,2833,pepset_chao,,,2025-12-09,2025-12-10,0,Erro not before posterior ao ultimo dia,0.0,0
36,148642,2694,pepset_vibrado,2025-12-01 04:00:00,2025-12-01 06:40:00,2025-12-01,2025-12-02,0,,0.0,160
38,148643,2694,pepset_vibrado,2025-12-01 06:40:00,2025-12-01 12:00:00,2025-12-01,2025-12-02,0,,0.0,320
144,148892,2077,pepset_vibrado,2025-12-03 04:00:00,2025-12-03 13:20:00,2025-12-03,2025-12-05,0,,0.0,560
162,148932,2077,pepset_vibrado,2025-12-03 13:30:00,2025-12-03 22:50:00,2025-12-03,2025-12-05,0,,0.0,560
