job_id,order_id,resource_id,maquina,inicio,fim,not_before_date,deadline,sub_machine,Status_Processed,delay,tempo_processamento
96,147078,2690,coldboxgasado_coldbox4,,,2025-11-10,2025-11-12,0,Erro not before posterior ao ultimo dia,0.0,0
97,147078,2691,coldboxgasado_coldbox4,,,2025-11-10,2025-11-12,0,Erro not before posterior ao ultimo dia,0.0,0
106,147079,2690,coldboxgasado_coldbox4,,,2025-11-10,2025-11-12,0,Erro not before posterior ao ultimo dia,0.0,0
107,147079,2691,coldboxgasado_coldbox4,,,2025-11-10,2025-11-12,0,Erro not before posterior ao ultimo dia,0.0,0
191,148403,2906,coldboxgasado_coldboxpequena,2025-11-05 04:00:00,2025-11-05 04:05:00,2025-11-05,2025-11-05,0,,0.0,5
192,148411,2923,coldboxgasado_coldboxpequena,2025-11-05 04:10:00,2025-11-05 04:20:00,2025-11-05,2025-11-05,0,,0.0,10
217,148453,2907,coldboxgasado_coldboxpequena,2025-11-05 04:25:00,2025-11-05 05:00:00,2025-11-05,2025-11-06,0,,0.0,35
1,146345,2907,coldboxgasado_coldboxpequena,2025-11-05 05:00:00,2025-11-05 05:40:00,2025-11-05,2025-11-07,0,,0.0,40
0,146344,2907,coldboxgasado_coldboxpequena,2025-11-05 05:40:00,2025-11-05 06:20:00,2025-11-05,2025-11-07,0,,0.0,40
215,148451,2906,coldboxgasado_coldboxpequena,2025-11-05 06:25:00,2025-11-05 07:10:00,2025-11-05,2025-11-05,0,,0.0,45
216,148452,2906,coldboxgasado_coldboxpequena,2025-11-05 07:10:00,2025-11-05 07:55:00,2025-11-05,2025-11-06,0,,0.0,45
188,147395,2906,coldboxgasado_coldboxpequena,2025-11-05 07:55:00,2025-11-05 08:40:00,2025-11-05,2025-11-05,0,,0.0,45
284,148587,2516,coldboxgasado_coldboxpequena,2025-11-05 08:45:00,2025-11-05 11:05:00,2025-11-05,2025-11-07,0,,0.0,140
283,148587,2515,coldboxgasado_coldboxpequena,2025-11-05 11:10:00,2025-11-05 13:30:00,2025-11-05,2025-11-07,0,,0.0,140
193,148412,347,coldboxgasado_coldboxpequena,2025-11-05 13:35:00,2025-11-05 16:50:00,2025-11-05,2025-11-05,0,,0.0,195
186,147343,281,coldboxgasado_coldboxpequena,2025-11-05 16:55:00,2025-11-05 21:15:00,2025-11-05,2025-11-07,0,,0.0,260
43,146995,115,coldboxgasado_coldboxpequena,2025-11-06 04:00:00,2025-11-06 04:35:00,2025-11-06,2025-11-10,0,,0.0,35
57,147041,98,coldboxgasado_coldboxpequena,2025-11-06 04:40:00,2025-11-06 05:15:00,2025-11-06,2025-11-10,0,,0.0,35
26,146923,2907,coldboxgasado_coldboxpequena,2025-11-06 05:20:00,2025-11-06 06:00:00,2025-11-06,2025-11-10,0,,0.0,40
13,146784,2301,coldboxgasado_coldboxpequena,2025-11-06 06:05:00,2025-11-06 12:05:00,2025-11-06,2025-11-10,0,,0.0,360
47,146996,115,coldboxgasado_coldboxpequena,2025-11-07 04:00:00,2025-11-07 04:35:00,2025-11-07,2025-11-11,0,,0.0,35
62,147042,98,coldboxgasado_coldboxpequena,2025-11-07 04:40:00,2025-11-07 05:15:00,2025-11-07,2025-11-11,0,,0.0,35
10,146609,2907,coldboxgasado_coldboxpequena,2025-11-07 05:20:00,2025-11-07 06:00:00,2025-11-07,2025-11-11,0,,0.0,40
189,147398,2301,coldboxgasado_coldboxpequena,2025-11-07 06:05:00,2025-11-07 12:05:00,2025-11-07,2025-11-11,0,,0.0,360
51,146997,115,coldboxgasado_coldboxpequena,,,2025-11-10,2025-11-12,0,Erro not before posterior ao ultimo dia,0.0,0
67,147043,98,coldboxgasado_coldboxpequena,,,2025-11-10,2025-11-12,0,Erro not before posterior ao ultimo dia,0.0,0
218,148479,2906,coldboxgasado_coldboxpequena,,,2025-11-10,2025-11-12,0,Erro not before posterior ao ultimo dia,0.0,0
