job_id,order_id,resource_id,maquina,inicio,fim,not_before_date,deadline,sub_machine,Status_Processed,delay,tempo_processamento
287,147057,2691,coldboxgasado_coldbox4,2025-10-20 13:30:00,2025-10-20 14:40:00,2025-10-20,2025-10-21,0,,0.0,70
72,146494,2691,coldboxgasado_coldbox4,2025-10-20 14:40:00,2025-10-20 15:50:00,2025-10-20,2025-10-21,0,,0.0,70
295,147058,2691,coldboxgasado_coldbox4,2025-10-20 15:50:00,2025-10-20 17:00:00,2025-10-20,2025-10-22,0,,0.0,70
305,147059,2691,coldboxgasado_coldbox4,2025-10-20 17:00:00,2025-10-20 18:10:00,2025-10-20,2025-10-22,0,,0.0,70
304,147059,2690,coldboxgasado_coldbox4,2025-10-20 18:45:00,2025-10-20 19:55:00,2025-10-20,2025-10-22,0,,0.0,70
51,146491,2690,coldboxgasado_coldbox4,2025-10-20 19:55:00,2025-10-20 21:05:00,2025-10-20,2025-10-20,0,,0.0,70
55,146492,2690,coldboxgasado_coldbox4,2025-10-20 21:05:00,2025-10-20 22:15:00,2025-10-20,2025-10-20,0,,0.0,70
71,146494,2690,coldboxgasado_coldbox4,2025-10-21 13:30:00,2025-10-21 14:40:00,2025-10-20,2025-10-21,0,,0.0,70
286,147057,2690,coldboxgasado_coldbox4,2025-10-21 14:40:00,2025-10-21 15:50:00,2025-10-20,2025-10-21,0,,0.0,70
294,147058,2690,coldboxgasado_coldbox4,2025-10-21 15:50:00,2025-10-21 17:00:00,2025-10-20,2025-10-22,0,,0.0,70
63,146493,2690,coldboxgasado_coldbox4,2025-10-21 17:00:00,2025-10-21 18:10:00,2025-10-20,2025-10-20,0,,1.0,70
64,146493,2691,coldboxgasado_coldbox4,2025-10-21 18:45:00,2025-10-21 19:55:00,2025-10-20,2025-10-20,0,,1.0,70
315,147060,2691,coldboxgasado_coldbox4,2025-10-21 19:55:00,2025-10-21 21:05:00,2025-10-21,2025-10-23,0,,0.0,70
56,146492,2691,coldboxgasado_coldbox4,2025-10-21 21:05:00,2025-10-21 22:15:00,2025-10-20,2025-10-20,0,,1.0,70
335,147062,2691,coldboxgasado_coldbox4,2025-10-22 13:30:00,2025-10-22 14:40:00,2025-10-22,2025-10-24,0,,0.0,70
49,146490,2691,coldboxgasado_coldbox4,2025-10-22 14:40:00,2025-10-22 15:50:00,2025-10-20,2025-10-20,0,,2.0,70
325,147061,2691,coldboxgasado_coldbox4,2025-10-22 15:50:00,2025-10-22 17:00:00,2025-10-21,2025-10-23,0,,0.0,70
345,147063,2691,coldboxgasado_coldbox4,2025-10-22 17:00:00,2025-10-22 18:10:00,2025-10-22,2025-10-24,0,,0.0,70
334,147062,2690,coldboxgasado_coldbox4,2025-10-22 18:45:00,2025-10-22 19:55:00,2025-10-22,2025-10-24,0,,0.0,70
344,147063,2690,coldboxgasado_coldbox4,2025-10-22 19:55:00,2025-10-22 21:05:00,2025-10-22,2025-10-24,0,,0.0,70
324,147061,2690,coldboxgasado_coldbox4,2025-10-22 21:05:00,2025-10-22 22:15:00,2025-10-21,2025-10-23,0,,0.0,70
354,147064,2690,coldboxgasado_coldbox4,2025-10-23 13:30:00,2025-10-23 14:40:00,2025-10-23,2025-10-27,0,,0.0,70
364,147065,2690,coldboxgasado_coldbox4,2025-10-23 14:40:00,2025-10-23 15:50:00,2025-10-23,2025-10-27,0,,0.0,70
48,146490,2690,coldboxgasado_coldbox4,2025-10-23 15:50:00,2025-10-23 17:00:00,2025-10-20,2025-10-20,0,,3.0,70
314,147060,2690,coldboxgasado_coldbox4,2025-10-23 17:00:00,2025-10-23 18:10:00,2025-10-21,2025-10-23,0,,0.0,70
355,147064,2691,coldboxgasado_coldbox4,2025-10-23 18:45:00,2025-10-23 19:55:00,2025-10-23,2025-10-27,0,,0.0,70
