dt,status,machine_id,machine_name,count_jobs,count_machines,mip_fo,heuristic_fo,fo_diff,fo_diff_pct,mip_time_seconds,heuristic_time_seconds,time_diff_seconds
2025-11-27,90,1,pepset_chao,20,2,0.4761861396958383,0.476186,-1.3969583828599141e-07,-2.9336393195992958e-05,397.441,0.122066,-397.31893399999996
2025-11-27,90,2,pepset_vibrado,5,1,0.5240485152655793,0.524049,4.847344207137283e-07,9.249800478264361e-05,0.722,0.000360295,-0.721639705
2025-11-27,90,4,coldboxgasado_coldboxpequena,11,1,0.5389072847682119,0.538907,-2.8476821190004387e-07,-5.284178187023855e-05,5.462,0.00411201,-5.45788799
2026-01-15,10080,0,pepset_chao,19,2,0.5601035276073619,0.560104,4.723926381178245e-07,8.434023619450874e-05,317.404,0.100122,-317.303878
2026-01-15,10080,4,coldboxgasado_coldboxpequena,17,1,0.5462824083994,0.546282,-4.0839939996484276e-07,-7.475975680078138e-05,15.855,0.0155535,-15.839446500000001
2025-11-19,82,2,pepset_vibrado,7,1,0.4749207533097147,0.474921,2.4669028525492465e-07,5.19434628905442e-05,6.898,0.000910697,-6.897089303
2025-11-19,82,4,coldboxgasado_coldboxpequena,18,1,0.25545895002322955,0.255459,4.997677044427107e-08,1.9563523000359372e-05,11.441,0.0226139,-11.418386100000001
2025-11-19,82,5,coldboxgasado_coldbox4,12,1,0.3581881533101045,0.358188,-1.5331010450037041e-07,-4.2801556412068396e-05,6.721,0.00549538,-6.71550462
2025-11-26,89,4,pepset_vibrado,9,1,65.59144307469181,65.5914,-4.307469181696888e-05,-6.567120617840023e-05,15.054,0.00239849,-15.051601510000001
2025-11-02,56,0,coldboxgasado_coldboxpequena,23,1,0.28596923076923075,0.285969,-2.3076923078013678e-07,-8.069722401930757e-05,87.822,0.0573119,-87.7646881
2025-11-02,56,1,coldboxgasado_coldbox4,8,1,0.6045112781954888,0.604511,-2.7819548875651634e-07,-4.6019900503254566e-05,1.201,0.00138043,-1.19961957
2025-11-02,56,4,pepset_vibrado,14,1,75268.52754271116,75268.5,-0.027542711162823252,-3.659259993786132e-05,370.926,0.00630123,-370.91969876999997
2026-02-01,10102,0,pepset_chao,19,2,177.4594383194279,177.456,-0.0034383194279143936,-0.001937524124090487,118.698,0.109556,-118.588444
2026-02-01,10102,2,pepset_vibrado,6,1,0.24090401092760463,0.240904,-1.092760462673148e-08,-4.536082477271578e-06,3.068,0.000549601,-3.067450399
2026-02-01,10102,4,coldboxgasado_coldboxpequena,21,1,0.49437217766394825,0.494372,-1.776639482753417e-07,-3.5937286987883367e-05,37.822,0.0377018,-37.7842982
2026-02-01,10102,5,coldboxgasado_coldbox4,6,1,0.41089751149899756,0.410898,4.885010024269221e-07,0.00011888633753093777,1.189,0.000698079,-1.188301921
2026-01-11,10072,0,pepset_chao,11,2,0.6250000000000001,0.625,-1.1102230246251565e-16,-1.77635683940025e-14,59.378,0.0166714,-59.3613286
2026-01-11,10072,3,coldboxsoprado_sopradora,26,1,0.6059954718711489,0.605909,-8.647187114885213e-05,-0.014269392291307154,13.766,0.0725952,-13.6934048
2026-01-11,10072,4,coldboxgasado_coldboxpequena,17,1,0.5777204229456332,0.57772,-4.229456331827919e-07,-7.320939616887899e-05,26.817,0.0176864,-26.7993136
2025-11-18,80,2,pepset_vibrado,11,1,0.30625269512721004,0.306253,3.04872789957944e-07,9.954942268550718e-05,24.088,0.0040535,-24.0839465
2025-11-18,80,4,coldboxgasado_coldboxpequena,27,1,0.32107584935475375,0.321076,1.5064524622188102e-07,4.6918896741883095e-05,21.371,0.0979033,-21.2730967
2025-11-18,80,5,coldboxgasado_coldbox4,16,1,0.3743680906616299,0.374368,-9.066162992565907e-08,-2.4217242918708842e-05,6.44,0.0118212,-6.4281788
2025-11-05,59,0,coldboxgasado_coldboxpequena,20,1,0.32662326025924376,0.326623,-2.6025924376726906e-07,-7.968178492881952e-05,48.729,0.0307089,-48.6982911
2025-11-05,59,4,pepset_vibrado,9,1,0.5028281363306744,0.502828,-1.3633067430518508e-07,-2.711277759833433e-05,4.787,0.00197878,-4.78502122
