solution_path,machine_id,sub_machine,resource_id,release_date_slot,job_id_before,start_before,processing_slots_before,job_id_after,start_after,processing_slots_after,full_p_times_sequence,full_starts_sequence,full_job_ids_sequence
01122025/94/output.json,4,,113,0,91,83,35,44,118,26,"[35, 35, 26, 35, 35, 35]","[48, 83, 118, 144, 179, 214]","[72, 91, 44, 149, 42, 68]"
10112025/68/output.json,4,,2694,0,102,181,64,101,336,32,"[64, 64, 64, 32, 64, 64, 64]","[48, 117, 181, 336, 368, 432, 675]","[104, 103, 102, 101, 106, 114, 110]"
11112025/69/output.json,4,,2694,0,117,181,64,114,336,32,"[64, 64, 64, 32, 64, 64, 64, 64]","[48, 117, 181, 336, 368, 432, 624, 693]","[119, 115, 117, 114, 127, 116, 123, 135]"
11112025/70/output.json,4,,2694,0,116,181,64,113,336,32,"[64, 64, 64, 32, 64, 64, 64, 64]","[48, 117, 181, 336, 368, 432, 624, 693]","[118, 114, 116, 113, 126, 115, 122, 134]"
11112025/71/output.json,4,,2694,0,113,181,64,109,336,25,"[64, 64, 64, 25, 64, 64, 64]","[48, 117, 181, 336, 361, 425, 624]","[111, 110, 113, 109, 115, 119, 127]"
25112025/88/output.json,4,,2694,0,34,117,64,31,336,25,"[64, 64, 25, 64, 64]","[48, 117, 336, 361, 624]","[37, 34, 31, 47, 42]"
26112025/89/output.json,4,,2694,0,25,117,64,22,336,16,"[64, 64, 16, 64, 64]","[48, 117, 336, 352, 416]","[30, 25, 22, 41, 35]"
