de_config,para_config,setup_time_min,recurso
A,A,10,sopradora
A,B,30,sopradora
B,A,30,sopradora
B,B,10,sopradora
A,A,7,vibrado
A,A,1,carrossel
A,A,5,chao
A,A,3,cold box pequena
A,A,7,cold box 4
